,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0,Maruti Swift Dzire,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190.0,5
1,Skoda Rapid 1.5,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250.0,5
2,Honda City 2017-2020,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,12.7,5
3,Hyundai i20 Sportz,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,22.4,5
4,Maruti Swift VXI,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,11.5,5
5,Hyundai Xcent 1.2,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5
6,Maruti Wagon R,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,7.8,5
7,Maruti 800 DX,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4
8,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,170.0,5
9,Ford Figo Diesel,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160.0,5
10,Renault Duster 110PS,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248.0,5
11,Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78.0,5
12,Maruti Swift Dzire,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5
13,Maruti Swift 1.3,2007,200000,80000,Petrol,Individual,Manual,Second Owner,0.0,0,0.0,0.0,0
14,Maruti Wagon R,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84.0,5
15,Mahindra KUV 100,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115.0,5
16,Maruti Ertiga SHVS,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200.0,7
17,Hyundai i20 1.4,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4,5
18,Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5
19,Hyundai i20 2015-2017,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5
20,Mahindra Verito 1.5,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160.0,5
21,Honda WR-V i-DTEC,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,200.0,5
22,Maruti Swift Dzire,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5
23,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,200.0,5
24,Tata Tigor 2017-2020,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,114.0,5
25,Maruti Baleno Delta,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5
26,Maruti Alto 800,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69.0,5
27,Chevrolet Enjoy TCDi,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,172.5,7
28,Maruti Wagon R,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,84.0,5
29,Maruti Omni E,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59.0,8
30,Maruti Vitara Brezza,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5
31,Fiat Palio 1.2,2003,70000,50000,Petrol,Individual,Manual,Second Owner,0.0,0,0.0,0.0,0
32,Maruti Omni 8,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,6.1,5
33,Hyundai i20 1.2,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5
34,Maruti Vitara Brezza,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5
35,Maruti Alto 800,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,60.0,4
